diameter
25.40986
24.45456
22.84063
14.70946
11.97832
13.96901
11.56389
15.03745
30.0176
16.5457
13.03383
14.70946
13.96901
13.96901
13.03383
13.42428
15.45157
16.05274
15.76413
14.94173
29.03601
14.29391
13.65739
16.38887
27.57617
14.92251
13.40288
14.09172
16.6322
12.33244
14.70946
16.38887
30.0749
15.09459
15.61782
13.55193
13.25216
14.29391
34.3926
16.61493
15.76413
14.63122
16.38887
13.65739
14.94173
23.12778
14.09172
35.73478
15.03745
13.03383
14.09172
13.96901
15.98108
15.33974
12.23901
21.86495
14.15268
16.21283
18.21336
15.03745
14.884
14.884
13.65739
13.96901
12.49426
14.29391
13.65739
14.29391
23.78836
14.94173
37.82572
14.55256
13.55193
17.68578
11.4642
13.96901
17.66955
13.03383
13.25216
16.38887
12.23901
16.05274
16.05274
13.65739
13.25216
12.90105
16.38887
13.25216
13.90724
13.92786
14.29391
12.42517
15.22708
24.15942
33.78652
12.94546
13.25216
21.6672
16.21283
15.76413
14.29391
17.66955
12.69928
13.25216
20.39835
15.98108
16.10628
18.43261
12.54011
13.55193
13.65739
11.97832
13.23049
27.12502
14.57226
13.48825
27.31478
24.73459
14.70946
19.75516
14.29391
13.48825
13.42428
12.94546
28.52753
24.98852
9.848485
14.37399
18.00737
13.92786
15.61782
13.65739
13.65739
13.25216
13.90724
13.92786
13.55193
13.72028
16.21283
12.60857
11.26217
15.09459
14.09172
13.25216
14.37399
11.56389
16.19512
11.56389
13.65739
13.96901
15.33974
14.94173
14.70946
16.05274
16.93991
14.29391
12.60857
14.94173
22.79032
25.09166
13.92786
14.63122
13.25216
15.15152
14.29391
14.29391
29.24282
20.21464
16.76965
13.65739
13.92786
13.23049
13.25216
15.09459
13.03383
12.90105
14.884
14.57226
15.24592
13.07779
13.42428
14.29391
14.09172
11.83371
14.09172
14.37399
15.33974
14.55256
13.03383
13.03383
14.70946
14.55256
14.09172
16.61493
16.61493
14.29391
15.45157
12.54011
10.30414
16.07061
12.87879
13.07779
21.56098
14.23356
15.09459
13.03383
23.7763
13.25216
26.86992
13.03383
14.57226
15.33974
24.47802
13.65739
14.37399
13.25216
13.48825
15.61782
14.57226
14.37399
15.61782
13.48825
14.70946
13.96901
15.03745
34.18338
13.03383
16.6322
13.23049
15.09459
18.81779
22.9284
14.09172
14.29391
14.70946
23.53367
14.57226
13.65739
9.58266
18.24484
13.23049
21.06279
23.33776
17.30858
14.37399
13.07779
11.97832
23.7763
15.03745
26.29781
12.94546
13.65739
13.65739
31.31822
12.69928
11.56389
14.37399
